Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
0.758204457,1.00044628,0.000643702,3,0.005690052,0.996063724,insig,no,COG0495,10.73526792,10.73462422
0.330200019,0.998461553,-0.00222122,3,0.028729112,0.980283461,insig,no,COG1217,11.09361209,11.09583331
0.489467703,0.998449916,-0.002238033,3,0.006450845,0.995538597,insig,no,COG2070,11.45486772,11.45710576
0.18224493,0.998330525,-0.002410557,3,0.009324811,0.993557377,insig,no,COG0578,12.46151008,12.46392064
0.268024975,0.998261045,-0.002510965,3,0.01727538,0.988097027,insig,no,COG0683,10.55261874,10.55512971
0.443447507,0.997890503,-0.003046575,3,0.017645522,0.98784355,insig,no,COG0179,10.7951203,10.79816688
0.507950746,0.997866243,-0.003081649,3,0.008176988,0.994348176,insig,no,COG4544,13.10610092,13.10918257
0.55494985,0.99757766,-0.003498938,3,0.013715867,0.990537935,insig,no,COG0800,12.30649977,12.30999871
0.616588678,0.99757036,-0.003509495,3,0.013433425,0.990731876,insig,no,COG1512,12.96438382,12.96789331
0.442863821,0.997555619,-0.003530814,3,0.035344919,0.975798439,insig,no,COG0424,11.28793746,11.29146827
0.446915452,0.99740044,-0.003755255,3,0.031938594,0.978105104,insig,no,COG1054,12.00971216,12.01346742
0.597099233,0.997210365,-0.004030217,3,0.011236306,0.992241837,insig,no,COG3670,12.75486283,12.75889305
0.029121828,0.997210167,-0.004030503,3,0.042809784,0.970762454,insig,no,COG0039,11.55719067,11.56122117
0.53314719,0.997141446,-0.004129927,3,0.040477848,0.972332839,insig,no,COG0739,10.12008758,10.12421751
0.254644971,0.997072643,-0.004229476,3,0.015338311,0.98942461,insig,no,COG0370,12.56170779,12.56593727
0.566071591,0.99704982,-0.0042625,3,0.013744308,0.990518408,insig,no,COG0790,11.18653768,11.19080018
0.643361437,0.99704443,-0.0042703,3,0.031263387,0.978562982,insig,no,COG0520,10.98463657,10.98890687
0.436758205,0.996834202,-0.004574526,3,0.053856518,0.963357699,insig,no,COG0188,10.02058533,10.02515985
0.409357955,0.99677403,-0.004661614,3,0.035732502,0.975536324,insig,no,COG1282,11.54368479,11.54834641
0.279963512,0.996138161,-0.005582242,3,0.067671856,0.954176555,insig,no,COG0316,11.08806642,11.09364866
0.435142832,0.996114946,-0.005615864,3,0.021050302,0.985514974,insig,no,COG1024,9.167421327,9.173037191
0.429424871,0.995640715,-0.006302867,3,0.092293233,0.938030519,insig,no,COG0137,11.37319225,11.37949511
0.654251146,0.995636381,-0.006309147,3,0.03365543,0.976941831,insig,no,COG0523,11.7143524,11.72066154
0.075619314,0.994654141,-0.007733133,3,0.083218835,0.943949226,insig,no,COG0349,11.32332853,11.33106167
0.512146492,0.994343403,-0.008183912,3,0.027887775,0.9808553,insig,no,COG2967,13.05776767,13.06595158
0.099395813,0.993457934,-0.009469214,3,0.145104731,0.904313727,insig,no,COG0539,11.02835431,11.03782353
0.109606345,0.993434337,-0.009503481,3,0.157842286,0.896364684,insig,no,COG4992,11.27157838,11.28108186
0.508019305,0.993321915,-0.009666754,3,0.098190893,0.934203728,insig,no,COG0317,10.93671678,10.94638354
0.143830024,0.993237157,-0.009789861,3,0.098220716,0.934184416,insig,no,COG1686,11.53564634,11.5454362
0.082292636,0.9932075,-0.009832939,3,0.11823786,0.921312275,insig,no,COG0115,10.39121693,10.40104986
0.192492536,0.993125333,-0.009952297,3,0.124145333,0.917547446,insig,no,COG2127,11.88329423,11.89324653
0.645446094,0.992555105,-0.010780895,3,0.046703127,0.968146228,insig,no,COG1878,13.15045282,13.16123372
0.397383525,0.992154728,-0.011362967,3,0.041968423,0.971328755,insig,no,COG2813,12.32917702,12.34053998
0.200093789,0.991382598,-0.01248616,3,0.157289506,0.896708199,insig,no,COG1080,10.84166635,10.85415251
0.776863058,0.991338383,-0.012550504,3,0.130812793,0.913316756,insig,no,COG1207,11.62319404,11.63574454
0.411736126,0.990413614,-0.013896949,3,0.067615241,0.954214,insig,no,COG0120,12.93093077,12.94482772
0.315181675,0.99022511,-0.014171561,3,0.181690758,0.881669124,insig,no,COG0206,11.45254744,11.466719
0.565756136,0.990193013,-0.014218326,3,0.062339173,0.957710037,insig,no,COG3206,11.10468709,11.11890542
0.633677533,0.989735659,-0.014884837,3,0.04730006,0.967745728,insig,no,COG0747,10.68561187,10.70049671
0.190746334,0.989382257,-0.015400067,3,0.131885685,0.9126378,insig,no,COG3333,12.24734874,12.26274881
0.271425429,0.989228134,-0.015624823,3,0.093936936,0.936962403,insig,no,COG0366,10.33061498,10.34623981
0.409799166,0.989119789,-0.015782844,3,0.071332363,0.95175862,insig,no,COG0841,9.448147572,9.463930416
0.198865631,0.988414024,-0.016812615,3,0.15165127,0.900219506,insig,no,COG1530,10.94766576,10.96447837
0.583511418,0.988053779,-0.017338527,3,0.058179575,0.960475304,insig,no,COG1970,12.65705343,12.67439196
0.606493117,0.987919673,-0.017534352,3,0.150525039,0.900922531,insig,no,COG0714,10.24474767,10.26228203
0.691558552,0.987749527,-0.017782844,3,0.054076914,0.963210541,insig,no,COG3631,12.07577691,12.09355975
0.133691855,0.987615464,-0.017978669,3,0.197580139,0.87201198,insig,no,COG2084,10.98786873,11.00584739
0.175062986,0.987585985,-0.018021732,3,0.122376569,0.918673062,insig,no,COG0572,12.59607995,12.61410169
0.241016807,0.986679924,-0.019345941,3,0.120349338,0.919964861,insig,no,COG1012,8.680101544,8.699447485
0.508435931,0.986351864,-0.0198257,3,0.388175485,0.764095313,insig,no,COG0847,11.09237549,11.11220119
0.661314127,0.98592813,-0.020445611,3,0.104385136,0.930201302,insig,no,COG4589,12.86580887,12.88625448
0.142376933,0.984824419,-0.02206156,3,0.141331763,0.906681804,insig,no,COG0559,11.01939537,11.04145693
0.436788936,0.984016321,-0.023245851,3,0.158115125,0.896195181,insig,no,COG0304,10.75660645,10.7798523
0.387035896,0.983786152,-0.023583347,3,0.055652897,0.962158916,insig,no,COG2192,13.26229797,13.28588132
0.216252864,0.983783078,-0.023587855,3,0.332515421,0.794150629,insig,no,COG0719,10.56077395,10.5843618
0.565929624,0.983765156,-0.023614137,3,0.083932461,0.943482418,insig,no,COG4249,11.56424993,11.58786407
0.213029866,0.983306196,-0.024287362,3,0.331938507,0.794468262,insig,no,COG0330,10.67548162,10.69976899
0.180378434,0.983026589,-0.024697656,3,0.142773515,0.905776167,insig,no,COG1009,10.63026398,10.65496164
0.412704429,0.982998239,-0.024739263,3,0.112214159,0.925167082,insig,no,COG2816,12.72456011,12.74929937
0.695958077,0.982963158,-0.02479075,3,0.080089108,0.945999215,insig,no,COG3547,11.50542041,11.53021116
0.276919002,0.982711712,-0.025159844,3,0.124153674,0.917542142,insig,no,COG4166,11.97935733,12.00451717
0.37490594,0.981900084,-0.026351869,3,0.101888479,0.931812456,insig,no,COG1925,12.59161349,12.61796535
0.486280669,0.981711713,-0.026628667,3,0.069985098,0.952647838,insig,no,COG4409,12.20205522,12.22868389
0.357214703,0.981566745,-0.026841722,3,0.313436947,0.804722375,insig,no,COG0086,10.1010429,10.12788463
0.284229663,0.981151951,-0.027451511,3,0.253949693,0.838597426,insig,no,COG0517,9.793021826,9.820473337
